date,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather_main,weather_description
2024-05-02 19:00:00,14.75,14.34,1004,79,11.15,75,10000,3.6,100,Clouds,broken clouds
2024-05-02 19:30:00,14.6,14.18,1005,79,11,75,10000,3.6,100,Rain,moderate rain
2024-05-02 20:00:00,14.21,13.75,1004,79,10.62,75,10000,2.06,90,Rain,moderate rain
2024-05-02 20:30:00,13.92,13.46,1005,80,10.53,75,10000,1.54,0,Rain,light rain
2024-05-02 21:00:00,13.38,12.94,1006,83,10.56,75,10000,1.03,0,Rain,light rain
2024-05-02 21:30:00,13.14,12.7,1006,84,10.5,75,10000,1.03,80,Rain,light rain
2024-05-02 22:00:00,12.66,12.25,1006,87,10.55,75,10000,4.12,230,Rain,light rain
2024-05-02 22:30:00,13.07,12.7,1006,87,10.96,75,10000,4.12,230,Drizzle,light intensity drizzle rain
2024-05-02 23:00:00,13.05,12.73,1006,89,11.28,75,10000,4.63,240,Rain,moderate rain
2024-05-02 23:30:00,12.56,12.25,1007,91,11.13,75,6000,4.63,240,Rain,moderate rain
2024-05-03 00:00:00,12.32,11.98,1007,91,10.89,75,8000,4.12,230,Rain,light intensity shower rain
2024-05-03 00:30:00,11.97,11.62,1006,92,10.71,75,7000,4.12,230,Drizzle,light intensity drizzle rain
2024-05-03 01:00:00,11.89,11.54,1006,92,10.63,75,8000,4.12,270,Rain,light rain
2024-05-03 01:30:00,11.52,11.1,1006,91,10.1,75,6000,4.12,250,Rain,light rain
2024-05-03 02:00:00,11.51,11.09,1006,91,10.09,75,3500,3.09,250,Mist,mist
2024-05-03 02:30:00,11.34,10.96,1006,93,10.25,75,2500,4.12,240,Mist,mist
2024-05-03 03:00:00,11.37,10.96,1006,92,10.12,75,3000,3.6,220,Mist,mist
2024-05-03 03:30:00,11.3,10.91,1006,93,10.21,75,3500,3.6,220,Mist,mist
2024-05-03 04:00:00,11.26,10.9,1007,94,10.33,75,3500,4.12,220,Mist,mist
2024-05-03 04:30:00,11.26,10.9,1006,94,10.33,75,2000,4.12,220,Mist,mist
2024-05-03 05:00:00,11.11,10.7,1006,93,10.02,75,1500,3.6,230,Mist,mist
2024-05-03 05:30:00,11.11,10.7,1006,93,10.02,75,800,3.6,230,Fog,fog
2024-05-03 06:00:00,10.63,10.26,1006,96,10.02,75,800,3.09,230,Fog,fog
2024-05-03 06:30:00,10.63,10.26,1006,96,10.02,75,800,3.09,230,Fog,fog
2024-05-03 07:00:00,11.1,10.69,1007,93,10.01,75,1200,3.6,230,Mist,mist
2024-05-03 07:30:00,11.26,10.87,1006,93,10.17,75,1500,3.6,230,Mist,mist
2024-05-03 08:00:00,11.54,11.18,1007,93,10.45,75,2500,3.09,220,Mist,mist
2024-05-03 08:30:00,11.85,11.49,1006,92,10.59,75,5000,4.12,220,Mist,mist
2024-05-03 09:00:00,12.01,11.62,1007,90,10.42,75,5000,3.6,230,Mist,mist
2024-05-03 09:30:00,12.01,11.59,1007,89,10.26,75,8000,3.6,360,Drizzle,light intensity drizzle
2024-05-03 10:00:00,12.01,11.59,1007,89,10.26,75,8000,2.57,350,Drizzle,light intensity drizzle
